cid,city
BRXX0412,Matao
BRXX0413,Maues
BRXX0414,Mirandopolis
BRXX0415,Muriae
BRXX0416,Nazare Paulista
BRXX0417,Nova Venecia
BRXX0418,Novo Airao
BRXX0419,Obidos
BRXX0420,Olimpia
BRXX0421,Oriximina
BRXX0422,Orlandia
BRXX0423,Para de Minas
BRXX0424,Parana
BRXX0425,Paulinia
BRXX0427,Pirajui
BRXX0428,Poco Fundo
BRXX0429,Pompeia
BRXX0430,Pompeu
BRXX0431,Ponte Alta do Bom Jesus
BRXX0432,Presidente Medici
BRXX0433,Propria
BRXX0434,Regente Feijo
BRXX0436,Ribeirao Pires
BRXX0437,Santo Antonio de Padua
BRXX0438,Sao Caetano de Odivelas
BRXX0439,Sao Luiz Gonzaga
BRXX0440,Sao Jose do Rio Pardo
BRXX0441,Sao Joao da Boa Vista
BRXX0442,Salesopolis
BRXX0443,Santa Barbara d'Oeste
BRXX0444,Santo Anastacio
BRXX0445,Sao Fidelis
BRXX0446,Sao Francisco
BRXX0447,Sao Goncalo
BRXX0448,Sao Joao da Barra
BRXX0449,Sao Joao da Ponte
BRXX0450,Sao Joaquim da Barra
BRXX0451,Sao Luis do Paraitinga
BRXX0452,Sao Miguel Arcanjo
BRXX0453,Sao Pedro da Aldeia
BRXX0454,Sao Romao
BRXX0455,Sao Roque
BRXX0456,Sao Simao
BRXX0457,Sarapui
BRXX0458,Senador Jose Porfirio
BRXX0459,Sertaozinho
BRXX0460,Silvianopolis
BRXX0461,Senhor do Bonfim
BRXX0462,Santo Antonio da Platina
BRXX0463,Taboao da Serra
BRXX0464,Tapaua
BRXX0465,Tapirai
BRXX0466,Tiete
BRXX0467,Timoteo
BRXX0468,Tocantinopolis
BRXX0469,Tres Marias
BRXX0470,Tres Pontas
BRXX0471,Tres Rios
BRXX0472,Uba
BRXX0473,Unai
BRXX0474,Urupes
BRXX0475,Vargem Grande do Sul
BRXX0476,Varzea Paulista
BRXX0477,Vicosa
BRXX0478,Visconde do Rio Branco
BRXX0479,Agudos
BRXX0480,Alegre
BRXX0481,Alenquer
BRXX0482,Alfenas
BRXX0483,Almeirim
BRXX0484,Almenara
BRXX0485,Amparo
BRXX0486,Ananindeua
BRXX0487,Angatuba
BRXX0488,Aparecida
BRXX0489,Araguatins
BRXX0490,Araruama
BRXX0491,Arinos
BRXX0493,Atibaia
BRXX0494,Baixo Guandu
BRXX0495,Barra do Corda
BRXX0496,Barretos
BRXX0497,Barueri
BRXX0498,Bebedouro
BRXX0499,Belford Roxo
BRXX0500,Belo Monte
BRXX0501,Belterra
BRXX0502,Benjamin Constant
BRXX0503,Betim
BRXX0504,Boca do Acre
BRXX0505,Boituva
BRXX0506,Bom Jardim
BRXX0508,Bom Jesus
BRXX0509,Bom Jesus
BRXX0510,Borba
BRXX0511,Botelhos
BRXX0512,Brotas
BRXX0513,Buri
BRXX0514,Buritis
BRXX0515,Buritizeiro
BRXX0516,Caapiranga
BRXX0517,Cacoal
BRXX0518,Caetite
BRXX0519,Caieiras
BRXX0520,Campestre
BRXX0521,Campo Belo
BRXX0522,Campos Novos
BRXX0523,Canavieiras
BRXX0524,Cantagalo
BRXX0525,Canutama
BRXX0526,Capanema
BRXX0527,Capela do Alto
BRXX0528,Capelinha
BRXX0529,Capivari
BRXX0530,Carangola
BRXX0531,Carbonita
BRXX0532,Carinhanha
BRXX0533,Carmo da Cachoeira
BRXX0534,Carmo do Rio Claro
BRXX0535,Carolina
BRXX0536,Carvoeiro
BRXX0537,Casa Branca
BRXX0538,Castelo
BRXX0539,Cataguases
BRXX0540,Cerquilho
BRXX0541,Coelho da Rocha
BRXX0542,Congonhas
BRXX0543,Contagem
BRXX0544,Cordeiro
BRXX0545,Corinto
BRXX0546,Coronel Fabriciano
BRXX0547,Cotia
BRXX0548,Cruzeiro
BRXX0549,Cruzeiro do Sul
BRXX0550,Diamantino
BRXX0551,Duartina
BRXX0552,Ecoporanga
BRXX0553,Embu
BRXX0554,Encruzilhada do Sul
BRXX0555,Espinosa
BRXX0556,Floriano
BRXX0557,Fonte Boa
BRXX0558,Formoso
BRXX0559,Francisco Morato
BRXX0560,Franco da Rocha
BRXX0561,General Salgado
BRXX0562,Guapiara
BRXX0563,Guarus
BRXX0564,Gurupi
BRXX0565,Ibitinga
BRXX0566,Imperatriz
BRXX0567,Indaiatuba
BRXX0568,Inhapim
BRXX0569,Ipameri
BRXX0570,Itabaianinha
BRXX0571,Itabira
BRXX0572,Itacoatiara
BRXX0573,Itaituba
BRXX0574,Itamarandiba
BRXX0576,Itapecerica da Serra
BRXX0577,Itapiranga
BRXX0578,Itatiaia
BRXX0579,Itatiba
BRXX0580,Itupeva
BRXX0581,Ituverava
BRXX0582,Jaboticabal
BRXX0585,Jales
BRXX0586,Jaru
BRXX0587,Jequitinhonha
BRXX0588,Jumirim
BRXX0589,Juquitiba
BRXX0590,Juruti
BRXX0591,Lagoa Santa
BRXX0592,Lagoa Vermelha
BRXX0593,Laranjal Paulista
BRXX0594,Lavras
BRXX0595,Leme
BRXX0596,Machado
BRXX0597,Macuco
BRXX0598,Mairinque
BRXX0599,Malacacheta
BRXX0600,Manacapuru
BRXX0601,Manga
BRXX0602,Mangaratiba
BRXX0603,Mantena
BRXX0604,Marambaia
BRXX0605,Mariana
BRXX0606,Medina
BRXX0607,Mesquita
BRXX0608,Minas Novas
BRXX0609,Mirassol
BRXX0610,Mococa
BRXX0611,Monte Alegre
BRXX0612,Monte Azul
BRXX0613,Moura
BRXX0614,Mutum
BRXX0615,Nanuque
BRXX0616,Natividade
BRXX0617,Neves
BRXX0618,Xavantina
BRXX0619,Novo Cruzeiro
BRXX0620,Novo Horizonte
BRXX0621,Oiapoque
BRXX0622,Oswaldo Cruz
BRXX0623,Ouro Preto
BRXX0624,Ouro Preto do Oeste
BRXX0625,Paraibuna
BRXX0626,Paulistana
BRXX0627,Paulo Afonso
BRXX0628,Uxituba
BRXX0629,Pedro Afonso
BRXX0631,Penedo
BRXX0632,Pereira Barreto
BRXX0633,Perus
BRXX0634,Picos
BRXX0635,Piedade
BRXX0636,Piedade do Rio Grande
BRXX0637,Pilar do Sul
BRXX0638,Pimenta Bueno
BRXX0639,Pindamonhangaba
BRXX0640,Pirapozinho
BRXX0641,Pirassununga
BRXX0642,Pirituba
BRXX0643,Pitangui
BRXX0644,Ponte Nova
BRXX0645,Porangaba
BRXX0646,Porteirinha
BRXX0647,Porto Acre
BRXX0648,Porto de Moz
BRXX0649,Porto Ferreira
BRXX0650,Prainha
BRXX0651,Presidente Venceslau
BRXX0652,Queimados
BRXX0653,Rancharia
BRXX0654,Raul Soares
BRXX0655,Marechal Thaumaturgo
BRXX0656,Rio Bananal
BRXX0657,Rio das Ostras
BRXX0658,Rio Pardo de Minas
BRXX0659,Rolim de Moura
BRXX0660,Salinas
BRXX0661,Salto
BRXX0662,Salto de Pirapora
BRXX0663,Salvaterra
BRXX0664,Santa Cruz
BRXX0665,Santa Leopoldina
BRXX0666,Santa Luzia
BRXX0667,Saquarema
BRXX0668,Serra Negra
BRXX0669,Soure
BRXX0670,Suzano
BRXX0671,Taguatinga
BRXX0672,Taquarituba
BRXX0673,Teodoro Sampaio
BRXX0674,Tiradentes
BRXX0675,Torres
BRXX0676,Tracuateua
BRXX0677,Trancoso
BRXX0678,Turmalina
BRXX0679,Valinhos
BRXX0680,Vassouras
BRXX0681,Vespasiano
BRXX0682,Vinhedo
BRXX0683,Viseu
BRXX0684,Votorantim
BRXX0685,New Xavantina
BRXX0686,Acucena
BRXX0687,Aeroporto de Confins
BRXX0688,Aeroporto do Galeao
BRXX0689,Aluminio
BRXX0690,Aracoiaba da Serra
BRXX0691,Aracuai
BRXX0692,Aragarcas
BRXX0693,Araguacu
BRXX0694,Augustinopolis
BRXX0695,Bom Jesus de Itabapoan
BRXX0696,Brasilia de Minas
BRXX0697,Calcoene
BRXX0698,Campina do Monte Alegre
BRXX0699,Campo Limpo Paulista
BRXX0700,Codisburgo
BRXX0701,Colorado do Oeste
BRXX0702,Conceicao do Araguaia
BRXX0703,Coracao de Jesus
BRXX0704,Embu-Guacu
BRXX0705,Ferraz de Vasconcelos
BRXX0706,Figueiropolis
BRXX0707,Formoso do Araguaia
BRXX0709,Igarape-Acu
BRXX0710,Itaguacu
BRXX0711,Ivinhema
BRXX0712,Joacaba
BRXX0713,Lencois Paulista
BRXX0714,Miracema do Tocantins
BRXX0715,Miranorte
BRXX0716,Moji-Mirim
BRXX0717,Novo Aripuana
BRXX0718,Placido Castro
BRXX0719,Santa Vitoria do Palmar
BRXX0720,Santana do Parnaiba
BRXX0721,Sao Gabriel da Palha
BRXX0722,Sao Joao de Meriti
BRXX0723,Sao Lourenco da Serra
BRXX0724,Tangara da Serra
BRXX0725,Tres Coracoes
BRXX0726,Vera
BRXX0727,Cariacica
BRXX0728,Iuna
BRXX0729,Santa Teresa
BRXX0730,Amapa
BRXX0731,Icoaraci
BRXX0732,Guanambi
BRXX0733,Itaparica
BRXX0734,Santa Cruz Cabralia
BRXX0735,Abreu e Lima
BRXX0736,Camaragibe
BRXX0800,Abadia
BRXX0801,Abadia de Goias
BRXX0802,Abadia dos Dourados
BRXX0803,Abadiania
BRXX0804,Abaetetuba
BRXX0805,Abaiara
BRXX0806,Abaira
BRXX0807,Abare
BRXX0808,Abatia
BRXX0809,Abdon Batista
BRXX0810,Abel Figueiredo
BRXX0811,Abelardo Luz
BRXX0812,Abraao
BRXX0813,Abre Campo
BRXX0814,Abreulandia
BRXX0815,Abuna
BRXX0816,Acaiaca
BRXX0817,Acailandia
BRXX0818,Acajutiba
BRXX0819,Acara
BRXX0820,Acarape
BRXX0821,Acarape (Anttnio Diogo (Redengco)
BRXX0822,Acarau
BRXX0823,Acari
BRXX0824,Acegua
BRXX0825,Acesita
BRXX0826,Acopiara
BRXX0827,Acorizal
BRXX0828,Acrelandia
BRXX0829,Acreuna
BRXX0830,Acu
BRXX0831,Adao Colares
BRXX0832,Adelandia
BRXX0833,Adrianopolis
BRXX0834,Adustina
BRXX0835,Afogados da Ingazeira
BRXX0836,Afonso Bezerra
BRXX0837,Afonso Claudio
BRXX0838,Afonso Cunha
BRXX0839,Afonso Rodrigues
BRXX0840,Afranio
BRXX0841,Agrestina
BRXX0842,Agricolandia
BRXX0843,Agrolandia
BRXX0844,Agronomica
BRXX0845,Agua Boa
BRXX0846,Agua Boa
BRXX0847,Agua Branca
BRXX0848,Agua Branca
BRXX0849,Agua Branca
BRXX0850,Agua Clara
BRXX0851,Agua Comprida
BRXX0852,Agua Doce
BRXX0853,Agua Doce do Norte
BRXX0854,Agua Fria
BRXX0855,Agua Limpa
BRXX0856,Agua Preta
BRXX0857,Agua Santa
BRXX0858,Aguas Belas
BRXX0859,Aguas Frias
BRXX0860,Aguas Mornas
BRXX0861,Aguas Vermelhas
BRXX0862,Aguas da Prata
BRXX0863,Aguas de Lindoia
BRXX0864,Agudo
BRXX0865,Agudos do Sul
BRXX0866,Aguia Branca
BRXX0867,Aguti
BRXX0868,Aiquara
BRXX0869,Aiuaba
BRXX0870,Aiuruoca
BRXX0871,Ajuricaba
BRXX0872,Alagoa Grande
BRXX0873,Alagoa Nova
BRXX0874,Alagoinha
BRXX0875,Alagoinha
BRXX0876,Alagoinha do Piaui
BRXX0877,Alcantara
BRXX0878,Alcinopolis
BRXX0879,Alcobaca
BRXX0880,Aldeias Altas
BRXX0881,Alegre
BRXX0882,Alegrete do Piaui
BRXX0883,Alegria
BRXX0884,Alem Paraiba
BRXX0885,Alexandria
BRXX0886,Alexania
BRXX0887,Alfredo Chaves
BRXX0888,Alfredo Vasconcelos
BRXX0889,Alfredo Wagner
BRXX0890,Alhandra
BRXX0891,Alianca
BRXX0892,Alianca do Tocantins
BRXX0893,Almadina
BRXX0894,Almas
BRXX0895,Almino Afonso
BRXX0896,Almirante Tamandare
BRXX0897,Aloandia
BRXX0898,Alpestre
BRXX0899,Alta Floresta d'Oeste
BRXX0900,Altamira do Maranhao
BRXX0901,Altamira do Parana
BRXX0902,Alterosa
BRXX0903,Altinho
BRXX0904,Altinopolis
BRXX0905,Alto Alegre
BRXX0906,Alto Araguaia
BRXX0907,Alto Boa Vista
BRXX0908,Alto Feliz
BRXX0909,Alto Garcas
BRXX0910,Alto Horizonte
BRXX0911,Alto Jequitiba
BRXX0912,Alto Longa
BRXX0913,Alto Paraguai
BRXX0914,Alto Paraiso
BRXX0915,Alto Paraiso de Goias
BRXX0916,Alto Parana
BRXX0917,Alto Parnaiba
BRXX0918,Alto Piquiri
BRXX0919,Alto Rio Doce
BRXX0920,Alto Santo
BRXX0921,Alto Sucuriu
BRXX0922,Alto Taquari
BRXX0923,Altonia
BRXX0924,Altos
BRXX0925,Alvinopolis
BRXX0926,Alvorada
BRXX0927,Alvorada
BRXX0928,Alvorada d'Oeste
BRXX0929,Alvorada de Minas
BRXX0930,Alvorada do Iguacu
BRXX0931,Alvorada do Norte
BRXX0932,Amambai
BRXX0933,Amapari
BRXX0934,Amaraji
BRXX0935,Amarante
BRXX0936,Amarante do Maranhao
BRXX0937,Amargosa
BRXX0938,Amelia Rodrigues
BRXX0939,America Dourada
BRXX0940,Americano do Brasil
BRXX0941,Americo Brasiliense
BRXX0942,Ametista do Sul
BRXX0943,Amontada
BRXX0944,Amorinopolis
BRXX0945,Amparo
BRXX0946,Anadia
BRXX0947,Anage
BRXX0948,Anahy
BRXX0949,Anajas
BRXX0950,Anajatuba
BRXX0951,Analandia
BRXX0952,Anama
BRXX0953,Ananas
BRXX0955,Anapurus
BRXX0956,Anaurilandia
BRXX0957,Andarai
BRXX0958,Andradas
BRXX0959,Andrelandia
BRXX0960,Angelica
BRXX0961,Angelim
BRXX0962,Angelina
BRXX0963,Angical
BRXX0964,Angical do Piaui
BRXX0965,Angico
BRXX0966,Angicos
BRXX0967,Anguera
BRXX0968,Anhanguera
BRXX0969,Anicuns
BRXX0971,Anisio de Abreu
BRXX0972,Anitapolis
BRXX0973,Anori
BRXX0974,Antas
BRXX0975,Antonina
BRXX0976,Antonina do Norte
BRXX0977,Antonio Almeida
BRXX0978,Antonio Cardoso
BRXX0979,Antonio Carlos
BRXX0980,Antonio Carlos
BRXX0981,Antonio Goncalves
BRXX0982,Antonio Joao
BRXX0983,Antonio Martins
BRXX0984,Antonio Prado
BRXX0985,Aparecida
BRXX0986,Aparecida d'Oeste
BRXX0987,Aparecida de Goiania
BRXX0988,Aparecida do Rio Doce
BRXX0989,Aparecida do Rio Negro
BRXX0990,Aparecida do Taboado
BRXX0991,Apiaca
BRXX0992,Apiacas
BRXX0993,Apiuna
BRXX0994,Apodi
BRXX0995,Apora
BRXX0996,Apore
BRXX0997,Apuarema
BRXX0998,Apuiares
BRXX0999,Aquidaba
BRXX1000,Aquidauana
BRXX1001,Aquiraz
BRXX1002,Aracagi
BRXX1003,Aracatu
BRXX1004,Araci
BRXX1005,Aracoiaba
BRXX1006,Aracu
BRXX1007,Aragoiania
BRXX1008,Aragominas
BRXX1009,Araguacema
BRXX1010,Araguacu
BRXX1011,Araguainha
BRXX1012,Araguana
BRXX1013,Araguapaz
BRXX1014,Araioses
BRXX1015,Aral Moreira
BRXX1016,Aramari
BRXX1017,Arambare
BRXX1018,Arame
BRXX1019,Arapiraca
BRXX1020,Arapoema
BRXX1021,Arapongas
BRXX1022,Arapora
BRXX1023,Arapoti
BRXX1024,Arapua
BRXX1025,Araputanga
BRXX1026,Araquari
BRXX1027,Ararangua
BRXX1028,Araras
BRXX1029,Arari
BRXX1030,Araripe
BRXX1031,Araripina
BRXX1032,Araruna
BRXX1033,Araruna
BRXX1034,Arataca
BRXX1035,Aratiba
BRXX1036,Aratuba
BRXX1037,Aratuipe
BRXX1038,Araua
BRXX1039,Araujos
BRXX1041,Arceburgo
BRXX1042,Arcos
BRXX1043,Arcoverde
BRXX1044,Areado
BRXX1045,Areal
BRXX1046,Arealva
BRXX1047,Areia
BRXX1048,Areia Branca
BRXX1049,Areia Branca
BRXX1050,Areial
BRXX1051,Areias
BRXX1052,Arenapolis
BRXX1053,Arenopolis
BRXX1054,Ares
BRXX1055,Argirita
BRXX1056,Ariquemes
BRXX1057,Aristides Batista
BRXX1058,Armazem
BRXX1059,Arneiroz
BRXX1060,Arnopolis
BRXX1061,Aroazes
BRXX1062,Aroeiras
BRXX1063,Arraial do Cabo
BRXX1064,Arraias
BRXX1065,Arroio Grande
BRXX1066,Arroio Trinta
BRXX1067,Arroio do Meio
BRXX1068,Arroio do Sal
BRXX1069,Artur Nogueira
BRXX1070,Aruana
BRXX1071,Arvorezinha
BRXX1072,Assai
BRXX1073,Assare
BRXX1074,Assis Brasil
BRXX1075,Assis Chateaubriand
BRXX1076,Astolfo Dutra
BRXX1077,Astorga
BRXX1078,Atalaia
BRXX1079,Atalaia
BRXX1080,Atalaia Do Norte
BRXX1081,Atalanta
BRXX1082,Ataleia
BRXX1083,Atilio Vivacqua
BRXX1084,Augusto Correa
BRXX1085,Augusto Pestana
BRXX1086,Aurelino Leal
BRXX1087,Aurilandia
BRXX1088,Aurora
BRXX1089,Aurora
BRXX1090,Aurora do Para
BRXX1091,Aurora do Tocantins
BRXX1092,Autazes
